
1)
city_name         | state_name | airport |                   unique_carrier_name                   |   sum
 Colorado Springs, CO      | Denver, CO | COS     | Federal Express Corporation                             |     397
 Denver, CO                | Denver, CO | DEN     | Federal Express Corporation                             |   12620
 Durango, CO               | Denver, CO | DRO     | Federal Express Corporation                             |    3674
 Grand Junction, CO        | Denver, CO | GJT     | Federal Express Corporation                             |    2302
 Hayden, CO                | Denver, CO | HDN     | Federal Express Corporation                             |       0
 Colorado Springs, CO      | Denver, CO | COS     | Frontier Airlines Inc.                                  |   15812
 Denver, CO                | Denver, CO | DEN     | Frontier Airlines Inc.                                  |  309322
 Denver, CO                | Denver, CO | DEN     | GoJet Airlines LLC d/b/a United Express                 |   72532
 Durango, CO               | Denver, CO | DRO     | GoJet Airlines LLC d/b/a United Express                 |   14803
 Eagle, CO                 | Denver, CO | EGE     | GoJet Airlines LLC d/b/a United Express                 |    1101
 Hayden, CO                | Denver, CO | HDN     | GoJet Airlines LLC d/b/a United Express                 |    1332
 Montrose/Delta, CO        | Denver, CO | MTJ     | GoJet Airlines LLC d/b/a United Express                 |    3541
 Denver, CO                | Denver, CO | DEN     | Great Lakes Airlines                                    |   13722
 Pueblo, CO                | Denver, CO | PUB     | Great Lakes Airlines                                    |     241
 Telluride, CO             | Denver, CO | TEX     | Great Lakes Airlines                                    |      13
 Colorado Springs, CO      | Denver, CO | COS     | Horizon Air                                             |     569
 Denver, CO                | Denver, CO | APA     | Jet Aviation Flight Services, Inc.                      |       2
 Denver, CO                | Denver, CO | DEN     | JetBlue Airways                                         |    8241
 Denver, CO                | Denver, CO | DEN     | Kalitta Charters II                                     |       0
 Durango, CO               | Denver, CO | DRO     | Mesa Airlines Inc.                                      |    5376
 Montrose/Delta, CO        | Denver, CO | MTJ     | Mesa Airlines Inc.                                      |    6804
 Colorado Springs, CO      | Denver, CO | COS     | Miami Air International                                 |       0
 Denver, CO                | Denver, CO | DEN     | Omni Air International LLC                              |       0
 Denver, CO                | Denver, CO | APA     | Peninsula Airways Inc.                                  |       5
 Denver, CO                | Denver, CO | DEN     | Peninsula Airways Inc.                                  |    1706
 Colorado Springs, CO      | Denver, CO | COS     | Republic Airlines                                       |    8699
 Denver, CO                | Denver, CO | DEN     | Republic Airlines                                       |   48416
 Aspen, CO                 | Denver, CO | ASE     | SkyWest Airlines Inc.                                   |   41183
 Colorado Springs, CO      | Denver, CO | COS     | SkyWest Airlines Inc.                                   |   42586
 Denver, CO                | Denver, CO | DEN     | SkyWest Airlines Inc.                                   |  269307
 Durango, CO               | Denver, CO | DRO     | SkyWest Airlines Inc.                                   |    5094
 Grand Junction, CO        | Denver, CO | GJT     | SkyWest Airlines Inc.                                   |   18769
 Montrose/Delta, CO        | Denver, CO | MTJ     | SkyWest Airlines Inc.                                   |      90
 Denver, CO                | Denver, CO | DEN     | Southern Air Inc.                                       |       0
 Colorado Springs, CO      | Denver, CO | COS     | Southwest Airlines Co.                                  |     802
 Denver, CO                | Denver, CO | DEN     | Southwest Airlines Co.                                  | 1540968
 Denver, CO                | Denver, CO | DEN     | Spirit Air Lines                                        |   51146
 Denver, CO                | Denver, CO | DEN     | Sun Country Airlines d/b/a MN Airlines                  |     853
 Fort Collins/Loveland, CO | Denver, CO | FNL     | Sun Country Airlines d/b/a MN Airlines                  |     149
 Montrose/Delta, CO        | Denver, CO | MTJ     | Sun Country Airlines d/b/a MN Airlines                  |      93
 Pueblo, CO                | Denver, CO | PUB     | Sun Country Airlines d/b/a MN Airlines                  |     154
 Denver, CO                | Denver, CO | DEN     | Swift Air, LLC                                          |      66
 Grand Junction, CO        | Denver, CO | GJT     | Swift Air, LLC                                          |     138
 Colorado Springs, CO      | Denver, CO | COS     | Trans States Airlines                                   |    1052
 Denver, CO                | Denver, CO | DEN     | Trans States Airlines                                   |  120024
 Durango, CO               | Denver, CO | DRO     | Trans States Airlines                                   |      45
 Grand Junction, CO        | Denver, CO | GJT     | Trans States Airlines                                   |   10585
 Gunnison, CO              | Denver, CO | GUC     | Trans States Airlines                                   |     371
 Hayden, CO                | Denver, CO | HDN     | Trans States Airlines                                   |     245
 Montrose/Delta, CO        | Denver, CO | MTJ     | Trans States Airlines                                   |    1208
 Denver, CO                | Denver, CO | DEN     | United Air Lines Inc.                                   | 1254990
 Denver, CO                | Denver, CO | DEN     | United Parcel Service                                   |    2036
 Pueblo, CO                | Denver, CO | PUB     | USA Jet Airlines Inc.                                   |       0
 Denver, CO                | Denver, CO | DEN     | Via Airlines d/b/a Charter Air Transport                |     308
 Denver, CO                | Denver, CO | DEN     | Virgin America                                          |   11910
(82 rows)

3) 

origincity          |    originstate     |         destcity          |                   unique_carrier_name                   |  sum
------------------------------+--------------------+---------------------------+---------------------------------------------------------+--------
 Albany, NY                   | Rochester, NY      | Denver, CO                | Southwest Airlines Co.                                  |   9678
