AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DISTANCE,RAMP_TO_RAMP,AIR_TIME,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
20422,10590,14288,598,191,169,0,1,43411,162,156,0,0,2017,2,6,2,L
20422,13502,10590,436,207,183,0,1,43116,162,93,0,0,2017,2,6,1,L
20422,14288,10590,598,211,182,0,1,42116,162,154,0,0,2017,2,6,2,L
20447,11840,14288,1070,170,160,0,1,5600,0,0,270,0,2017,2,6,3,P
20447,14288,13796,967,175,155,0,1,5600,0,0,270,0,2017,2,6,2,P
20190,11193,11292,1069,3922,3343,0,22,1668260,0,0,627144,0,2017,2,6,3,P
20190,11292,11193,1069,3620,2944,0,22,1668260,0,0,431309,0,2017,2,6,3,P
19930,11109,11292,73,48,19,0,1,41080,178,156,0,0,2017,2,6,1,F
19930,14747,11109,1068,180,148,0,1,41080,178,156,0,0,2017,2,6,3,F
20237,10558,11292,150,55,29,0,1,11118,50,49,0,0,2017,2,6,1,F
20237,11292,13851,495,136,114,0,1,11118,50,34,0,0,2017,2,6,1,F
20225,10325,11292,22,32,13,0,1,7600,30,5,0,0,2017,2,6,1,F
20225,10558,11292,150,2622,1956,0,44,334400,1320,329,0,0,2017,2,6,1,F
20225,11283,11292,292,1692,1405,0,19,144400,570,116,0,0,2017,2,6,1,F
20225,11292,10558,150,2489,1733,0,45,342000,1350,343,0,0,2017,2,6,1,F
20225,11292,11283,292,1912,1491,0,23,174800,690,176,0,0,2017,2,6,1,F
20225,11292,11292,0,224,176,0,3,22800,90,37,0,0,2017,2,6,1,F
20225,11292,11468,305,4620,3767,0,56,425600,1680,645,0,0,2017,2,6,1,F
20225,11292,12899,228,3481,2635,0,48,364800,1440,423,0,0,2017,2,6,1,F
20225,11292,12902,280,1605,1299,0,19,144400,570,82,0,0,2017,2,6,1,F
